exit_time,dir,entry,exit,pnl_usd,equity
2023-03-10 04:27:00-05:00,1,11960.423999999999,11991.893999999997,624.3999999999505,11460.259999999726
2023-03-10 11:31:00-05:00,1,11924.798999999999,12046.358999999997,2426.1999999999534,13886.459999999679
2023-03-10 14:09:00-05:00,1,11805.803,11852.850999999999,935.9599999999773,14822.419999999656
2023-03-13 10:52:00-04:00,1,11892.419,11837.109,-1111.1999999999898,13711.219999999666
2023-03-13 14:38:00-04:00,1,12046.493999999999,12018.479,-565.2999999999884,13145.919999999678
2023-03-14 03:26:00-04:00,1,11967.704,11938.469,-589.7000000000116,12556.219999999666
2023-03-14 11:16:00-04:00,-1,12164.854,12192.819,-564.3000000000029,11991.919999999664
2023-03-16 03:39:00-04:00,-1,12266.389,12282.459,-326.40000000003056,11665.519999999633
2023-03-16 10:54:00-04:00,1,12302.919,12390.739,1751.3999999999942,13416.919999999627
2023-03-17 10:23:00-04:00,1,12623.033,12571.449,-1036.6799999999785,12380.239999999649
2023-03-20 02:44:00-04:00,-1,12557.433,12429.525000000001,2553.159999999989,14933.399999999638
2023-03-20 03:31:00-04:00,1,12455.853,12438.059,-360.8799999999974,14572.51999999964
2023-03-20 04:16:00-04:00,1,12455.623,12432.299,-471.4799999999741,14101.039999999666
2023-03-20 10:49:00-04:00,1,12447.639,12504.238999999998,1126.999999999971,15228.039999999637
2023-03-21 06:25:00-04:00,1,12540.654,12614.344000000003,1468.8000000000466,16696.839999999684
2023-03-21 11:14:00-04:00,-1,12612.309000000001,12637.459,-507.9999999999927,16188.839999999691
2023-03-22 14:46:00-04:00,-1,12818.854,12918.319,-1994.300000000003,14194.539999999688
2023-03-24 11:09:00-04:00,1,12665.099,12639.469,-517.6000000000204,13676.939999999668
2023-03-24 14:34:00-04:00,1,12692.589,12721.528999999999,573.7999999999738,14250.739999999641
2023-03-27 03:09:00-04:00,-1,12817.504,12791.274000000001,519.5999999999913,14770.339999999633
2023-03-27 03:47:00-04:00,-1,12795.473999999998,12730.243999999995,1299.600000000064,16069.939999999697
2023-03-27 11:53:00-04:00,-1,12766.499,12677.898999999998,1767.0000000000437,17836.93999999974
2023-03-30 03:32:00-04:00,-1,12861.423999999999,12877.427,-325.0600000000122,17511.879999999728
2023-03-30 05:27:00-04:00,-1,12877.234,12886.149,-183.29999999998108,17328.579999999747
2023-03-31 08:18:00-04:00,-1,12968.798999999999,12943.198999999997,507.00000000004366,17835.57999999979
2023-04-03 10:48:00-04:00,1,13132.814,13095.509,-751.1000000000058,17084.479999999785
2023-04-03 15:32:00-04:00,-1,13075.954000000002,13130.829,-1102.4999999999636,15981.979999999821
2023-04-05 09:47:00-04:00,-1,13140.124,13014.953999999998,2498.400000000038,18480.37999999986
2023-04-05 10:04:00-04:00,1,13025.689,12997.319,-572.400000000016,17907.979999999843
2023-04-05 10:28:00-04:00,1,12995.149000000001,12980.279,-302.400000000016,17605.579999999827
2023-04-10 14:59:00-04:00,1,13022.024000000001,13048.034000000003,515.2000000000407,18120.779999999868
2023-04-12 10:34:00-04:00,1,13003.419,12976.259,-548.1999999999971,17572.57999999987
2023-04-12 12:02:00-04:00,-1,12925.609,12975.017,-993.1599999999889,16579.419999999882
2023-04-14 10:07:00-04:00,-1,13138.959,13112.059000000003,532.9999999999563,17112.41999999984
2023-04-17 03:05:00-04:00,-1,13098.624,13109.847,-229.45999999999913,16882.95999999984
2023-04-17 04:35:00-04:00,-1,13110.128,13087.806,441.4400000000023,17324.39999999984
2023-04-17 10:38:00-04:00,1,13069.164,13037.849,-631.3000000000102,16693.09999999983
2023-04-17 12:15:00-04:00,-1,13039.829,12984.728999999998,1097.0000000000437,17790.099999999875
2023-04-18 03:31:00-04:00,-1,13087.359,13096.269,-183.1999999999971,17606.899999999878
2023-04-18 04:01:00-04:00,-1,13091.923999999999,13100.549,-177.50000000003638,17429.39999999984
2023-04-19 05:49:00-04:00,-1,13116.543,12974.435,2837.1600000000035,20266.559999999845
2023-04-21 03:30:00-04:00,1,12973.854,12959.819,-285.6999999999971,19980.859999999848
2023-04-21 14:16:00-04:00,1,12952.809000000001,13032.849000000002,1595.8000000000175,21576.659999999865
2023-04-24 11:17:00-04:00,-1,12991.809000000001,12913.329000000002,1564.5999999999913,23141.259999999857
2023-04-24 22:04:00-04:00,-1,12968.669,12937.229000000001,623.7999999999738,23765.05999999983
2023-04-25 04:21:00-04:00,1,12907.234,12890.479,-340.1000000000204,23424.95999999981
2023-04-25 10:07:00-04:00,1,12896.609,12878.559,-366.0000000000218,23058.959999999788
2023-04-26 12:08:00-04:00,1,12849.284,12927.813999999998,1565.5999999999767,24624.559999999765
2023-04-26 14:36:00-04:00,1,12828.384,12810.969,-353.30000000001746,24271.259999999747
2023-04-27 04:07:00-04:00,-1,12925.403999999999,12907.853999999996,346.0000000000582,24617.259999999806
2023-04-28 03:15:00-04:00,-1,13127.679,13111.059000000001,327.3999999999796,24944.659999999785
2023-04-28 05:08:00-04:00,1,13109.504,13097.959,-235.90000000000146,24708.759999999784
2023-04-28 15:16:00-04:00,-1,13174.749,13219.439,-898.8000000000102,23809.959999999774
2023-05-01 10:59:00-04:00,1,13214.139,13249.798999999999,708.1999999999971,24518.15999999977
2023-05-01 20:23:00-04:00,-1,13240.954,13192.283999999998,968.4000000000378,25486.55999999981
2023-05-02 04:10:00-04:00,-1,13234.979,13242.539,-156.2000000000262,25330.359999999782
2023-05-03 04:43:00-04:00,-1,13129.244,13138.319,-186.49999999997817,25143.859999999804
2023-05-03 15:10:00-04:00,-1,13191.529,13093.329,1959.0000000000146,27102.85999999982
2023-05-04 03:36:00-04:00,-1,13060.239,13079.589,-392.0000000000073,26710.85999999981
2023-05-04 10:46:00-04:00,1,12958.528999999999,12988.388999999996,592.1999999999389,27303.05999999975
2023-05-04 11:09:00-04:00,1,12972.993999999999,13031.783999999996,1170.7999999999447,28473.859999999695
2023-05-04 15:59:00-04:00,1,12997.499,12973.759,-479.79999999999563,27994.0599999997
2023-05-08 10:34:00-04:00,1,13208.019,13192.089,-323.6000000000058,27670.459999999694
2023-05-08 14:41:00-04:00,-1,13260.134,13289.569,-593.6999999999898,27076.759999999704
2023-05-08 16:02:00-04:00,1,13285.129,13272.579,-256.0000000000218,26820.759999999682
2023-05-09 04:30:00-04:00,-1,13258.814,13234.444000000001,482.3999999999796,27303.15999999966
2023-05-10 10:45:00-04:00,-1,13340.204,13269.438,1410.3199999999924,28713.479999999654
2023-05-10 15:19:00-04:00,-1,13284.574,13351.369,-1340.9000000000015,27372.579999999653
2023-05-11 20:14:00-04:00,1,13339.899000000001,13417.299000000003,1543.000000000029,28915.57999999968
2023-05-12 05:05:00-04:00,-1,13414.199,13426.439,-249.79999999999563,28665.779999999686
2023-05-12 11:34:00-04:00,-1,13376.789,13315.769,1215.4000000000087,29881.179999999695
2023-05-12 15:27:00-04:00,1,13268.509,13303.029,685.4000000000087,30566.579999999703
2023-05-15 10:37:00-04:00,-1,13319.423999999999,13335.549,-327.5000000000364,30239.079999999667
2023-05-15 11:12:00-04:00,-1,13343.464,13355.959,-254.900000000016,29984.17999999965
2023-05-16 06:00:00-04:00,1,13419.789,13403.679,-327.20000000001164,29656.97999999964
2023-05-16 10:29:00-04:00,-1,13413.158,13444.537,-632.5800000000163,29024.399999999623
2023-05-16 12:40:00-04:00,1,13442.949,13496.789,1071.800000000003,30096.199999999626
2023-05-17 11:17:00-04:00,1,13467.894,13485.884000000002,354.800000000032,30450.999999999658
2023-05-18 04:00:00-04:00,-1,13590.689,13598.947,-170.15999999999622,30280.83999999966
2023-05-18 11:01:00-04:00,-1,13719.999,13741.639,-437.79999999998836,29843.039999999673
2023-05-19 04:31:00-04:00,-1,13845.979,13861.839,-322.20000000001164,29520.83999999966
2023-05-19 11:30:00-04:00,-1,13839.599,13797.439,838.1999999999971,30359.03999999966
2023-05-22 03:55:00-04:00,-1,13807.399000000001,13818.629,-229.59999999999127,30129.439999999668
2023-05-22 14:51:00-04:00,-1,13845.664,13887.949,-850.6999999999971,29278.73999999967
2023-05-24 03:41:00-04:00,1,13661.788,13648.029,-280.1800000000003,28998.55999999967
2023-05-24 05:02:00-04:00,1,13650.283,13677.630999999998,541.9599999999627,29540.519999999633
2023-05-26 03:41:00-04:00,-1,13937.704000000002,13909.358000000004,561.9199999999546,30102.439999999588
2023-05-29 12:58:00-04:00,1,14345.887999999999,14365.425999999996,385.75999999993655,30488.199999999524
2023-05-30 03:36:00-04:00,-1,14369.298999999999,14381.659,-252.20000000001164,30235.999999999513
2023-05-31 10:18:00-04:00,-1,14396.604,14274.854,2430.0,32665.999999999513
2023-05-31 14:50:00-04:00,1,14304.598,14291.339,-270.1800000000003,32395.819999999512
2023-06-01 10:41:00-04:00,-1,14263.723,14307.439,-879.320000000007,31516.499999999505
2023-06-02 04:33:00-04:00,-1,14475.964,14486.937,-224.45999999999913,31292.039999999506
2023-06-02 10:45:00-04:00,1,14471.948,14537.486,1305.7600000000093,32597.799999999515
2023-06-05 10:45:00-04:00,-1,14591.473999999998,14615.447,-484.4600000000355,32113.33999999948
2023-06-05 14:31:00-04:00,-1,14595.564,14562.278,660.7200000000012,32774.05999999948
2023-06-05 14:54:00-04:00,-1,14541.154,14557.147,-324.86000000000786,32449.199999999473
2023-06-06 11:25:00-04:00,1,14556.234,14528.469,-560.3000000000247,31888.89999999945
2023-06-06 15:00:00-04:00,1,14528.198,14559.776000000002,626.5600000000268,32515.459999999475
2023-06-07 10:24:00-04:00,-1,14589.399,14529.538999999999,1192.2000000000116,33707.65999999949
2023-06-07 12:22:00-04:00,-1,14478.414,14374.404000000002,2075.199999999968,35782.859999999455
2023-06-09 05:03:00-04:00,1,14460.964,14494.254,660.8000000000175,36443.65999999947
2023-06-12 03:46:00-04:00,-1,14589.813999999998,14603.249,-273.7000000000262,36169.959999999446
2023-06-12 10:34:00-04:00,-1,14586.608,14618.249,-637.8199999999924,35532.139999999454
2023-06-12 11:35:00-04:00,-1,14616.908,14641.569,-498.22000000000116,35033.91999999945
2023-06-13 05:41:00-04:00,-1,14875.958999999999,14847.858999999997,557.0000000000437,35590.919999999496
2023-06-13 15:59:00-04:00,-1,14867.673999999999,14903.239,-716.3000000000102,34874.619999999486
2023-06-14 09:07:00-04:00,1,14920.649000000001,14891.579,-586.4000000000306,34288.219999999455
2023-06-14 10:40:00-04:00,-1,14961.803,14978.057,-330.0800000000163,33958.13999999944
2023-06-14 11:14:00-04:00,-1,14964.234,14984.027,-400.8599999999933,33557.279999999446
2023-06-15 10:27:00-04:00,-1,15033.139,15067.519,-692.6000000000204,32864.679999999425
2023-06-15 13:45:00-04:00,1,15063.629,15148.609000000004,1694.600000000064,34559.27999999949
2023-06-16 04:19:00-04:00,-1,15168.964,15184.349,-312.70000000000437,34246.579999999485
2023-06-16 14:31:00-04:00,-1,15184.443,15156.190999999999,560.0400000000081,34806.61999999949
2023-06-19 22:27:00-04:00,1,15058.168,15042.769,-312.97999999998865,34493.639999999505
2023-06-20 04:05:00-04:00,1,15060.457999999999,15049.789,-218.379999999961,34275.259999999544
2023-06-20 11:05:00-04:00,1,14962.624,14996.214,666.8000000000029,34942.05999999955
2023-06-21 07:40:00-04:00,1,15050.012999999999,15036.469,-275.8799999999974,34666.17999999955
2023-06-21 10:45:00-04:00,1,14933.794,14888.509,-910.6999999999971,33755.47999999955
2023-06-22 04:53:00-04:00,1,14827.414,14807.659,-400.1000000000204,33355.37999999953
2023-06-22 11:40:00-04:00,1,14917.104,14985.194,1356.800000000003,34712.179999999535
2023-06-23 14:27:00-04:00,1,14948.894,14933.009,-322.70000000000437,34389.47999999953
2023-06-26 10:31:00-04:00,-1,14969.904,14937.874000000002,635.5999999999767,35025.07999999951
2023-06-26 12:05:00-04:00,-1,14889.839,14787.239000000001,2046.999999999971,37072.07999999948
2023-06-28 10:16:00-04:00,-1,14895.679,14915.737,-406.15999999998166,36665.919999999496
2023-06-28 15:05:00-04:00,-1,14960.648000000001,14920.806000000004,791.8399999999383,37457.759999999435
2023-06-30 03:53:00-04:00,-1,14972.069,14985.909,-281.8000000000029,37175.95999999943
2023-07-03 03:30:00-04:00,-1,15190.104,15200.829,-219.50000000000728,36956.459999999424
2023-07-05 02:59:00-04:00,-1,15188.149000000001,15132.029000000002,1117.3999999999796,38073.859999999404
2023-07-05 10:44:00-04:00,1,15267.014,15251.279,-319.69999999997526,37754.15999999943
2023-07-05 14:16:00-04:00,-1,15220.259,15188.999000000002,620.199999999968,38374.3599999994
2023-07-05 15:07:00-04:00,-1,15203.729,15230.349,-537.400000000016,37836.95999999938
2023-07-06 04:46:00-04:00,1,15118.867999999999,15144.265999999996,502.9599999999482,38339.91999999933
2023-07-06 18:00:00-04:00,1,15099.239000000001,15068.329,-623.2000000000335,37716.719999999295
2023-07-07 05:11:00-04:00,1,15044.129,15078.669000000002,685.8000000000175,38402.51999999931
2023-07-07 11:02:00-04:00,-1,15083.089,15105.659,-456.3999999999942,37946.11999999932
2023-07-10 10:35:00-04:00,1,15028.839,15003.919,-503.40000000000146,37442.71999999932
2023-07-10 16:03:00-04:00,-1,15006.009,15057.549,-1035.8000000000175,36406.9199999993
2023-07-11 04:00:00-04:00,-1,15079.434000000001,15053.524000000005,513.1999999999243,36920.119999999224
2023-07-11 10:27:00-04:00,-1,14998.439,15032.369,-683.6000000000058,36236.51999999922
2023-07-11 11:16:00-04:00,1,15060.973999999998,15040.459,-415.299999999952,35821.219999999266
2023-07-11 14:35:00-04:00,1,15030.329,15019.119,-229.19999999998254,35592.019999999284
2023-07-12 03:26:00-04:00,-1,15131.729,15142.149,-213.40000000000146,35378.61999999928
2023-07-13 04:21:00-04:00,-1,15385.739,15395.099,-192.20000000001164,35186.41999999927
2023-07-18 11:47:00-04:00,1,15640.278999999999,15726.638999999996,1722.1999999999389,36908.61999999921
2023-07-19 03:12:00-04:00,-1,15849.644,15858.049,-173.1000000000131,36735.5199999992
2023-07-19 10:39:00-04:00,-1,15865.209,15885.149,-403.7999999999738,36331.71999999922
2023-07-19 11:18:00-04:00,-1,15888.859,15918.919,-606.1999999999898,35725.51999999923
2023-07-19 15:00:00-04:00,-1,15804.159,15830.149,-524.7999999999956,35200.71999999924
2023-07-21 13:57:00-04:00,-1,15497.134,15533.549,-733.3000000000175,34467.41999999922
2023-07-21 15:05:00-04:00,-1,15492.344000000001,15439.254000000004,1056.7999999999302,35524.21999999915
