rank,strategy,params,trades,win_rate,profit_factor,sharpe_ratio,total_pnl,final_equity,score
79,SUPERTREND,"{'st_period': 7, 'st_mult': 1.5, 'sl_pips': 2, 'tp_pips': 7}",129,28.68217054263566,0.4152119700749764,-2.199502162387062,-234.50000000001637,4765.499999999984,0.1
80,SUPERTREND,"{'st_period': 10, 'st_mult': 1.5, 'sl_pips': 2, 'tp_pips': 5}",123,26.01626016260163,0.23988005997002546,-3.126771012322293,-253.49999999998545,4746.500000000015,0.1
81,SUPERTREND,"{'st_period': 10, 'st_mult': 1.5, 'sl_pips': 2, 'tp_pips': 6}",123,26.01626016260163,0.3132867132868639,-2.6889862671083655,-245.49999999998363,4754.500000000016,0.1
82,SUPERTREND,"{'st_period': 10, 'st_mult': 1.5, 'sl_pips': 2, 'tp_pips': 7}",123,26.01626016260163,0.37745740498053676,-2.3241256175435785,-237.4999999999909,4762.500000000009,0.1
83,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 3, 'tp_pips': 5}",68,52.94117647058824,0.16129032258029657,-2.646651629730536,-155.99999999997635,4844.000000000024,0.08858823529411768
84,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 3, 'tp_pips': 7}",68,52.94117647058824,0.2142857142854392,-2.3623833745851677,-153.99999999997817,4846.000000000022,0.08858823529411768
85,SUPERTREND,"{'st_period': 10, 'st_mult': 2.0, 'sl_pips': 3, 'tp_pips': 5}",21,57.14285714285714,0.31304347826036755,-1.1099294808560232,-39.50000000001637,4960.499999999984,0.07099999999999997
86,SUPERTREND,"{'st_period': 10, 'st_mult': 2.0, 'sl_pips': 3, 'tp_pips': 6}",21,57.14285714285714,0.39024390243879536,-0.945678982648244,-37.500000000009095,4962.499999999991,0.07099999999999997
87,SUPERTREND,"{'st_period': 10, 'st_mult': 2.0, 'sl_pips': 3, 'tp_pips': 7}",21,57.14285714285714,0.45801526717528207,-0.8059376241366113,-35.50000000002001,4964.49999999998,0.07099999999999997
88,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 2, 'tp_pips': 5}",68,8.823529411764707,0.08620689655171242,-3.087652771515475,-159.00000000002365,4840.999999999976,0.068
89,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 2, 'tp_pips': 7}",68,8.823529411764707,0.14673913043479603,-2.6815929920712795,-157.00000000002547,4842.9999999999745,0.068
90,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 30, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 2, 'tp_pips': 5}",42,4.761904761904762,0.06666666666671517,-1.9988333023617955,-69.99999999994543,4930.000000000055,0.042
91,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 30, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 2, 'tp_pips': 7}",42,4.761904761904762,0.10588235294129732,-1.7766637951534363,-75.99999999994907,4924.000000000051,0.042
92,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 2, 'tp_pips': 5}",42,4.761904761904762,0.04032258064515951,-2.7262305529938837,-119.00000000000546,4880.9999999999945,0.042
93,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 2, 'tp_pips': 7}",42,4.761904761904762,0.06818181818185576,-2.507499225258748,-123.00000000000182,4876.999999999998,0.042
94,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 3, 'tp_pips': 5}",42,45.23809523809524,0.10037174721155932,-2.4279841135277613,-120.99999999999454,4879.0000000000055,0.042
95,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 3, 'tp_pips': 7}",42,45.23809523809524,0.12280701754358755,-2.2882794790761083,-124.9999999999909,4875.000000000009,0.042
96,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 70, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 2, 'tp_pips': 5}",36,16.666666666666664,0.12195121951210315,-2.5620846417065604,-108.00000000009277,4891.999999999907,0.036
97,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 70, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 2, 'tp_pips': 7}",36,16.666666666666664,0.2195121951218448,-2.1288716907857075,-96.00000000008549,4903.9999999999145,0.036
98,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 70, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 3, 'tp_pips': 5}",36,25.0,0.1111111111111043,-2.590154764966714,-131.99999999990723,4868.000000000093,0.036
99,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 70, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 3, 'tp_pips': 7}",36,25.0,0.19191919191929152,-2.2464072283206757,-119.99999999989996,4880.0000000001,0.036
100,SUPERTREND,"{'st_period': 7, 'st_mult': 2.0, 'sl_pips': 2, 'tp_pips': 5}",29,17.24137931034483,0.10869565217390445,-2.1585078674664584,-102.5000000000091,4897.499999999991,0.028999999999999998
101,SUPERTREND,"{'st_period': 7, 'st_mult': 2.0, 'sl_pips': 2, 'tp_pips': 6}",29,17.24137931034483,0.1411290322581321,-2.0180341708953615,-106.50000000002365,4893.499999999976,0.028999999999999998
102,SUPERTREND,"{'st_period': 7, 'st_mult': 2.0, 'sl_pips': 2, 'tp_pips': 7}",29,17.24137931034483,0.16917293233089212,-1.8948540985296154,-110.5000000000382,4889.499999999962,0.028999999999999998
103,SUPERTREND,"{'st_period': 7, 'st_mult': 2.0, 'sl_pips': 3, 'tp_pips': 5}",29,34.48275862068966,0.12244897959165037,-2.124758030340002,-107.4999999999909,4892.500000000009,0.028999999999999998
104,SUPERTREND,"{'st_period': 7, 'st_mult': 2.0, 'sl_pips': 3, 'tp_pips': 6}",29,34.48275862068966,0.15209125475275742,-2.005874039156559,-111.50000000000546,4888.4999999999945,0.028999999999999998
105,SUPERTREND,"{'st_period': 7, 'st_mult': 2.0, 'sl_pips': 3, 'tp_pips': 7}",29,34.48275862068966,0.17793594306041965,-1.897400501443435,-115.50000000002001,4884.49999999998,0.028999999999999998
106,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 30, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 2, 'tp_pips': 5}",22,0.0,0.0,-1.5588053961122474,-42.999999999956344,4957.000000000044,0.022000000000000002
107,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 30, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 2, 'tp_pips': 7}",22,0.0,0.0,-1.4872139085086802,-50.99999999995816,4949.000000000042,0.022000000000000002
108,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 5, 'ema_slow': 15, 'sl_pips': 2, 'tp_pips': 5}",21,0.0,0.0,-2.0467320125466295,-70.50000000000182,4929.499999999998,0.021
109,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 5, 'ema_slow': 15, 'sl_pips': 2, 'tp_pips': 7}",21,0.0,0.0,-1.9610652431567788,-78.50000000000364,4921.499999999996,0.021
110,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 5, 'ema_slow': 15, 'sl_pips': 3, 'tp_pips': 5}",21,42.857142857142854,0.060810810810558356,-1.8378533533458623,-69.49999999999818,4930.500000000002,0.021
111,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 65, 'ema_fast': 5, 'ema_slow': 15, 'sl_pips': 3, 'tp_pips': 7}",21,42.857142857142854,0.054878048780257184,-1.8039222945959559,-77.5,4922.5,0.021
112,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 70, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 2, 'tp_pips': 5}",21,9.523809523809524,0.05847953216370412,-2.316392518898063,-80.50000000005639,4919.499999999944,0.021
113,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 70, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 2, 'tp_pips': 7}",21,9.523809523809524,0.10526315789473124,-2.1276657760146174,-76.50000000005093,4923.499999999949,0.021
114,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 70, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 3, 'tp_pips': 5}",21,9.523809523809524,0.04784688995217893,-2.3549204946313016,-99.49999999994361,4900.500000000056,0.021
115,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 35, 'rsi_sell': 70, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 3, 'tp_pips': 7}",21,9.523809523809524,0.08612440191397429,-2.20840647113439,-95.49999999993815,4904.500000000062,0.021
